"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Mokka 1.4 T Enjoy EU6","39 900","97 000 km","Benzyna","Manualna","2015","Warmińsko-mazurskie"
"Opel Astra","44 900","96 000 km","Benzyna","Manualna","2019","Wielkopolskie"
"Opel Adam 1.4 Rocks Easytronic","36 900","44 173 km","Benzyna","Automatyczna","2016","Pomorskie"
"Opel Mokka 1.7 CDTI Automatik Edition","32 000","136 000 km","Diesel","Automatyczna","2015","Wielkopolskie"
"Opel Adam 1.4 Turbo Rocks S","28 900","122 087 km","Benzyna","Manualna","2016","Łódzkie"
"Opel Corsa","20 900","109 000 km","Benzyna","Manualna","2013","Śląskie"
"Opel Astra","39 900","36 900 km","Benzyna","Manualna","2018","Wielkopolskie"
"Opel Adam 1.4 Unlimited","24 800","115 000 km","Benzyna","Manualna","2013","Śląskie"
"Opel Grandland X ver-1-6-t-phev-4x4-ultimate","89 900","70 200 km","Hybryda Plug-in","Automatyczna","2020","Wielkopolskie"
"Opel Corsa 1.4 Enjoy","24 900","154 000 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Adam 1.0 Start/Stop Unlimited","27 300","104 000 km","Benzyna","Manualna","2016","Dolnośląskie"
"Opel Corsa","7 950","99 800 km","Benzyna+LPG","Manualna","2007","Śląskie"
"Opel Astra 1.5 D Start/Stop Sports Tourer Automatik Business Edition","44 000","93 447 km","Diesel","Automatyczna","2022","Wielkopolskie"
"Opel Mokka X","39 700","146 469 km","Benzyna","Manualna","2017","Kujawsko-pomorskie"
"Opel Insignia 2.0 CDTI Cosmo 4x4","28 000","119 km","Diesel","Manualna","2011","Opolskie"
"Opel Astra 1.2 Turbo Automatik GS","99 000","11 754 km","Benzyna","Automatyczna","2024","Warmińsko-mazurskie"
"Opel Crossland X 1.2 Start/Stop Innovation","41 900","114 000 km","Benzyna","Manualna","2017","Opolskie"
"Opel Grandland X","68 000","76 903 km","Benzyna","Automatyczna","2020","Kujawsko-pomorskie"
"Opel Corsa 1.2 Start/Stop Elegance","49 990","18 000 km","Benzyna","Manualna","2023","Śląskie"
"Opel Astra III 1.6 Enjoy","12 900","146 700 km","Benzyna","Manualna","2007","Mazowieckie"
"Opel Astra V 1.6 CDTI Enjoy","34 900","103 000 km","Diesel","Automatyczna","2017","Pomorskie"
"Opel Mokka X 1.4 T Enjoy S&S 4x4","44 280","141 000 km","Benzyna","Manualna","2019","Mazowieckie"
"Opel Mokka 1.6 ecoFLEX Start/Stop Selection","33 999","117 034 km","Benzyna","Manualna","2012","Małopolskie"
